City,Name,Cuisine,Neighborhood
Atlanta,Yebo Beach Haus,Southern African,Buckhead
Atlanta,The Garden Room,Contemporary American,Buckhead
Atlanta,Lazy Betty,Contemporary American,Midtown
Atlanta,The Alden,American,Chamblee
Atlanta,Little Sparrow,American,West Midtown
Atlanta,The Optimist,Seafood,West Midtown
Atlanta,Canoe,American,Vinings
Atlanta,Ray's on the River,Steak,Sandy Springs
Atlanta,Mujō,Japanese,West Midtown
Austin,Red Ash Italia,Italian,Downtown
Austin,Este,Contemporary Mexican,East Austin
Austin,Comedor,Mexican,Downtown
Austin,Clark's Oyster Bar - Austin,Seafood,Clarksville
Austin,Hestia,Contemporary American,Downtown
Austin,Suerte,Contemporary Mexican,East Austin
Austin,Kemuri Tatsu-ya,Barbecue,East Austin
Austin,La Condesa,Mexican,Downtown
Austin,Emmer & Rye,American,Downtown
Austin,Perla's Seafood and Oyster Bar,Seafood,South Congress
Austin,OKO,Asian,East Austin
Austin,Birdie's,Farm-to-table,East Austin
Austin,Nixta Taqueria,Mexican,East Austin
Baltimore,The Ruxton,Steakhouse,Harbor East
Baltimore,Azumi,Japanese,Harbor East
Baltimore,Cypriana - Homewood,Mediterranean,Hampden
Baltimore,MARTA,Contemporary American,Upper Fells Point
Baltimore,Amazonia,Peruvian,Mount Vernon Square
Baltimore,Dauphine's,Contemporary American,Downtown
Baltimore,Bresca,Contemporary French / American,U Street Corridor
Baltimore,Xiquet by Danny Lledó,Spanish,Georgetown
Baltimore,The Duck and the Peach,American,Capitol Hill
Baltimore,Thip Khao,Laotian,Columbia Heights / Brightwood
Baltimore,Elmina,African,U Street Corridor
Baltimore,Causa,Peruvian,Shaw
Baltimore,El Taller del Xiquet,Spanish,Georgetown
Baltimore,Service Bar,Cocktail Bar,Mount Vernon Square
Boston,Grill 23 & Bar,Steak,Back Bay
Boston,Bistro du Midi,French,Back Bay
Boston,The Banks Seafood and Steak,Seafood,Back Bay
Boston,Toro,Tapas / Small Plates,South End
